The Peer is 9, the number of blocks in the blockchain is 169
Time: 0, ID: 0, PID: 0, Miner:9, Size:1, hope:0
Time: 458188, ID: 8, PID: 0, Miner:7, Size:1, hope:0
Time: 577551, ID: 20, PID: 8, Miner:9, Size:97, hope:96
Time: 735209, ID: 30, PID: 20, Miner:0, Size:21, hope:20
Time: 966542, ID: 32, PID: 30, Miner:3, Size:31, hope:30
Time: 1701279, ID: 45, PID: 32, Miner:9, Size:55, hope:54
Time: 2069417, ID: 52, PID: 45, Miner:1, Size:151, hope:150
Time: 2114166, ID: 70, PID: 52, Miner:2, Size:71, hope:70
Time: 2227450, ID: 80, PID: 70, Miner:0, Size:11, hope:10
Time: 2600013, ID: 82, PID: 80, Miner:3, Size:25, hope:24
Time: 2991782, ID: 91, PID: 82, Miner:3, Size:86, hope:85
Time: 3020833, ID: 104, PID: 91, Miner:8, Size:82, hope:81
Time: 3087437, ID: 116, PID: 104, Miner:6, Size:7, hope:6
Time: 4394939, ID: 129, PID: 116, Miner:0, Size:9, hope:8
Time: 5464216, ID: 133, PID: 129, Miner:1, Size:229, hope:228
Time: 5845908, ID: 148, PID: 133, Miner:8, Size:219, hope:218
Time: 5962489, ID: 158, PID: 148, Miner:9, Size:92, hope:91
Time: 6036955, ID: 168, PID: 158, Miner:2, Size:30, hope:29
Time: 6356701, ID: 180, PID: 168, Miner:0, Size:13, hope:12
Time: 6559270, ID: 190, PID: 180, Miner:9, Size:70, hope:69
Time: 7152230, ID: 191, PID: 190, Miner:9, Size:32, hope:31
Time: 7195629, ID: 209, PID: 191, Miner:7, Size:102, hope:101
Time: 8323244, ID: 219, PID: 209, Miner:9, Size:11, hope:10
Time: 8520510, ID: 228, PID: 219, Miner:7, Size:218, hope:217
Time: 8612738, ID: 234, PID: 228, Miner:1, Size:45, hope:44
Time: 8892448, ID: 249, PID: 234, Miner:7, Size:17, hope:16
Time: 9139638, ID: 257, PID: 249, Miner:0, Size:56, hope:55
Time: 9584979, ID: 266, PID: 257, Miner:7, Size:57, hope:56
Time: 11490361, ID: 276, PID: 266, Miner:3, Size:101, hope:100
Time: 12778668, ID: 288, PID: 276, Miner:7, Size:385, hope:384
Time: 14243182, ID: 298, PID: 288, Miner:2, Size:274, hope:273
Time: 14948686, ID: 305, PID: 298, Miner:9, Size:309, hope:308
Time: 17010623, ID: 318, PID: 305, Miner:2, Size:140, hope:139
Time: 18361812, ID: 327, PID: 318, Miner:6, Size:384, hope:383
Time: 20608435, ID: 337, PID: 327, Miner:7, Size:241, hope:240
Time: 22349654, ID: 348, PID: 337, Miner:2, Size:427, hope:426
Time: 23442684, ID: 359, PID: 348, Miner:1, Size:335, hope:334
Time: 24860691, ID: 367, PID: 359, Miner:7, Size:191, hope:190
Time: 25635588, ID: 377, PID: 367, Miner:9, Size:264, hope:263
Time: 26295101, ID: 388, PID: 377, Miner:2, Size:158, hope:157
Time: 27041295, ID: 392, PID: 388, Miner:7, Size:124, hope:123
Time: 28101363, ID: 409, PID: 392, Miner:0, Size:136, hope:135
Time: 29526514, ID: 416, PID: 409, Miner:6, Size:195, hope:194
Time: 29579886, ID: 421, PID: 416, Miner:6, Size:286, hope:285
Time: 29936930, ID: 431, PID: 421, Miner:6, Size:12, hope:11
Time: 32154578, ID: 448, PID: 431, Miner:0, Size:86, hope:85
Time: 32284020, ID: 456, PID: 448, Miner:6, Size:409, hope:408
Time: 32630756, ID: 461, PID: 456, Miner:6, Size:23, hope:22
Time: 33076481, ID: 474, PID: 461, Miner:1, Size:71, hope:70
Time: 33160553, ID: 481, PID: 474, Miner:1, Size:91, hope:90
Time: 33900887, ID: 495, PID: 481, Miner:4, Size:26, hope:25
Time: 34523416, ID: 507, PID: 495, Miner:0, Size:169, hope:168
Time: 34598113, ID: 513, PID: 507, Miner:1, Size:134, hope:133
Time: 35625671, ID: 526, PID: 513, Miner:8, Size:14, hope:13
Time: 35799484, ID: 536, PID: 526, Miner:6, Size:249, hope:248
Time: 35959697, ID: 548, PID: 536, Miner:8, Size:41, hope:40
Time: 35972060, ID: 560, PID: 548, Miner:2, Size:39, hope:38
Time: 36269587, ID: 561, PID: 560, Miner:2, Size:4, hope:3
Time: 36553974, ID: 579, PID: 561, Miner:3, Size:75, hope:74
Time: 37476869, ID: 581, PID: 579, Miner:3, Size:57, hope:56
Time: 37495538, ID: 598, PID: 581, Miner:7, Size:213, hope:212
Time: 38127735, ID: 604, PID: 598, Miner:1, Size:3, hope:2
Time: 38139322, ID: 613, PID: 604, Miner:6, Size:118, hope:117
Time: 39194758, ID: 630, PID: 613, Miner:7, Size:4, hope:3
Time: 39276383, ID: 631, PID: 630, Miner:7, Size:203, hope:202
